type                Na_Na               Na_Cl               Cl_Na               Cl_Cl               
4.265000            -0.173290           -0.455230           -0.455230           -0.173290           
4.275000            -0.453321           -0.280551           -0.280551           -0.453321           
4.285000            -0.757907           0.014606            0.014606            -0.757907           
4.295000            -1.067835           0.419504            0.419504            -1.067835           
4.305000            -1.363117           0.916445            0.916445            -1.363117           
4.315000            -1.624116           1.481738            1.481738            -1.624116           
4.325000            -1.832676           2.087027            2.087027            -1.832676           
4.335000            -1.973163           2.700885            2.700885            -1.973163           
4.345000            -2.033382           3.290604            3.290604            -2.033382           
4.355000            -2.005299           3.824058            3.824058            -2.005299           
4.365000            -1.885544           4.271552            4.271552            -1.885544           
4.375000            -1.675661           4.607534            4.607534            -1.675661           
4.385000            -1.382081           4.812086            4.812086            -1.382081           
4.395000            -1.015842           4.872108            4.872108            -1.015842           
4.405000            -0.592048           4.782114            4.782114            -0.592048           
4.415000            -0.129113           4.544621            4.544621            -0.129113           
4.425000            0.352169            4.170078            4.170078            0.352169            
