bin                 q                   Fx                  Icoh               
411                 4.115000            60.594591           -1.270211           -14.687696         
412                 4.125000            60.757368           -1.038251           -0.589323          
413                 4.135000            60.920280           -0.826721           12.188934          
414                 4.145000            61.083328           -0.647101           22.967991          
415                 4.155000            61.246513           -0.508370           31.227095          
416                 4.165000            61.409836           -0.416578           36.627364          
417                 4.175000            61.573298           -0.374577           39.024828          
418                 4.185000            61.736898           -0.381938           38.472408          
419                 4.195000            61.900638           -0.435053           35.210930          
420                 4.205000            62.064519           -0.527415           29.649820          
421                 4.215000            62.228540           -0.650052           22.338723          
422                 4.225000            62.392704           -0.792101           13.931751          
423                 4.235000            62.557010           -0.941483           5.146459           
424                 4.245000            62.721459           -1.085632           -3.280088          
425                 4.255000            62.886053           -1.212260           -10.635666         
426                 4.265000            63.050790           -1.310085           -16.275163         
427                 4.275000            63.215674           -1.369502           -19.658440         
428                 4.285000            63.380703           -1.383159           -20.381700         
429                 4.295000            63.545880           -1.346390           -18.200686         
430                 4.305000            63.711204           -1.257501           -13.044502         
431                 4.315000            63.876676           -1.117881           -5.019381          
432                 4.325000            64.042297           -0.931933           5.597708           
433                 4.335000            64.208068           -0.706843           18.375119          
434                 4.345000            64.373990           -0.452177           32.751284          
435                 4.355000            64.540063           -0.179357           48.066638          
436                 4.365000            64.706288           0.098978            63.600871          
437                 4.375000            64.872667           0.369676            78.613333          
438                 4.385000            65.039198           0.619797            92.384281          
439                 4.395000            65.205885           0.837337            104.254630         
440                 4.405000            65.372726           1.011887            113.661968         
441                 4.415000            65.539724           1.135204            120.170832         
442                 4.425000            65.706878           1.201659            123.495580         
443                 4.435000            65.874190           1.208537            123.514629         
444                 4.445000            66.041660           1.156166            120.275316         
445                 4.455000            66.209289           1.047876            113.989202         
446                 4.465000            66.377079           0.889795            105.018148         
447                 4.475000            66.545029           0.690473            93.852042          
448                 4.485000            66.713142           0.460385            81.079516          
449                 4.495000            66.881416           0.211315            67.353368          
